X_test,y_test
i would commit the rest of my gay life to being a complete 100 submissive bottom if i could be zac efrons bitch noshame gayboyproblems,offensive
fuck u 2 bitch call the cops,offensive
exactly same shit i saidgtgtgt so nobody think mimi was outta line for inviting stevie j to the gay nicca v8230,hate_speech
cause youre a damn border bunny you forget already,offensive
shut up chink,hate_speech
got a badass bitch just bouncin on my dick,offensive
128527 haahaa dumb bitch,offensive
128514128514128514128514 rt 8220 how ghetto girls pronounce there names i could cry right now oh my god,offensive
youll make the team them niggas trash lol,hate_speech
walking dead gonna be so trash this season,neutral
fuck you niggah you gay lol,hate_speech
is that all you have to say you sound like a little bitch nagging and shit where u be at,offensive
kill whitey,hate_speech
128514128514128514 dat shit crazy a nicca use to wear dat shit fr,offensive
think windturbines are bad for birds compare via via 8230,neutral
its not ghetto you fool,neutral
nah he pussy he wont,offensive
ho no without ur vote we lost the election ak49 is taking oath as pm today,neutral
34 of a citizen i said it for you maria you spic,hate_speech
faggot time he circled the block for 3 hours,offensive
yeah i dont think thats okayfuckin drop it you shouldnt even joke abo8230,offensive
screw the ragheads,hate_speech
hot isis social media photo laughing jihadis get baby to kick severed head 8211 warning graphic tcot pjnet,offensive
wheres this bitches parents tho go home you thot,offensive
its my pussy not yours i think this gotta be my favorite naked picture everdamn,offensive
suck ass bum ass yankees foh,offensive
your a nasty nigger whore,hate_speech
if you kill all cops and cracker babies what next black states white states and latino states isnt that moving backwards,hate_speech
i live in the eye of a white trash hurricane milwaukie or where people use bikes bc of duis not to save the environment,hate_speech
what if i was on my ass that mean she get half of my cash man that bitch can kiss my ass,offensive
i was like this bitch better chill oh hey maria128514128514128514,offensive
im sure would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers,hate_speech
we should hang out ovenjew have a lot in common people waste time on nigs jews r r problem,hate_speech
which one of these names is more offensive kike wop kraut wetback jigaboo towelhead gook or redskin,hate_speech
this nigga over here telling me he dont fuck with this bitch when he do 128553128514128514 or maybe she lying lol,hate_speech
when kennies angry he talks like a ghetto black man and i really dont even think he notices hahahahahahaha im laughing 8230,hate_speech
perfect smoking weather haha bro i aint even in my hood yet and i already got hoes trying to say was up from other towns,offensive
happy birthday freshman faggots,hate_speech
i thought that bitch was trynna line me128553,offensive
i knew you were a faggot though,hate_speech
bitch youre the ugliest cunt ever,hate_speech
yeah me too my people the women laff at the set apart men they love the real niggas or niggers,hate_speech
my bitch got the dope in her panties sssshhhhh you to dramatic,offensive
don8217t be a hurt little faggot,hate_speech
just smashed a bottle over buzz head because hes a cunt,offensive
purple amp pinkfor the faggots who want to be protectedby the police instead of bearing arms if need be,hate_speech
how do you bloke someone on insta dumb bitch scares me,offensive
8220 yes iam single i dont mess or talk to anyone 128524 no hoes just me 1280768221,offensive
i like bad bitches cause they like bad bitches too 128525128525128536 hay stunna,offensive
yall bitches fake 128514128557,offensive
i want a pet monkey 128553128525,neutral
shut up bitch it ainn complete witout money melle n it,offensive
from now on i will call all radical muslims niggers it is very fitting and it is racist i am racist against anyone who hates america,hate_speech
yall hire colored folk only work half da day and throw da mail in da sewer if we aint done,hate_speech
i got bitches definition im with some female friends who dont know that im referring to them as bitches,offensive
man these hoes so familiar one minute on the team next minute they aint witcha,offensive
even the birds think this waking up early thing is bunk,neutral
niggas are so fucking gay and they try to cancel it out by saying nah were bros its cool nahhhhhaahahahaha you a faggot bruh,hate_speech
it is fucking retarded how i cant say a single thing in this house without some blowback,offensive
when you drop all your hoes for the wrong one and you gotta bring em back lmfaooooooo,offensive
teaching that pretend son to b a pussy his son would have lace on his jock strap,hate_speech
its winter up this bitch,offensive
wearing pajamas tonight 4 da gook udigg grey day,neutral
watch excited isis jihadis getting their yezidi sex slaves on distribution day isis tcot pjnet lnyhbt gop,neutral
128514128514128514128514 im so weak ima go stalk him now lmfao u lucky bitch 128557128148128553128514,offensive
hate this dyke,hate_speech
i made you bitch,offensive
are you justin beiber because your a fucken gay cunt,hate_speech
do you bitch boy,offensive
u stupid bitch,offensive
my bitches pop that pussypop that gum and pop pills,offensive
8220 bitch im weakkk vic 1285141285141285148221128514128514,offensive
no you ignorant cement headed hillbilly you said taxing cant you fuckin read you fucking knob gobbling douchebag,hate_speech
me loving a hoe is ah no no,offensive
this nigger tattoo show is horrible,hate_speech
fuck 50 i make my own rules suck my dragon balls bitch call me goku,offensive
i just wanna slit this mf throat,hate_speech
if anyone reviews a 5 game loan player you are a cunt shouldnt be doing 5 game reviews especially at the start of fifa,offensive
buck beaners amp security started pushing him amp that jetsgreen faggot around,offensive
i cant blow bubbles or whistle im basically retarded,hate_speech
ha dat bitch in jail,offensive
honestly at this point i doubt id fuck miley cyrus anymore that bitch is a mess,offensive
1 knew he was gettin pussy later 2 he yakked 3 you look stoned as hell,offensive
rt if you listen to these bands 128522 a7x ptv sws atl bvb adtr bmth ymas fob aa blink 182 tdg ss fir mcr follow me amp everyon8230,neutral
if you a hoe on the internet you a hoe irl,offensive
only fuck niggas would wanna continue to mess with these messy ass bitches vs somebody who has been down for them all a8230,hate_speech
im jus tryna vaca away from the niggers bro,hate_speech
rtin your own shit now pussy what a joke youd end up just like all the rest no show chicken shit mother fucker,hate_speech
this that bitch nigga shit they invented it i just created the term,offensive
i find it hilarious how austin says swag witch instead of swag bitch lmfao,offensive
bitches be fallin so inlove w niggass amp then he go get a new bitch amp they try go get a new nigga to try to forget about the 8230,hate_speech
this isnt some privilege to be thrown around all willynilly youve gotta earn the right to call me a bitch,offensive
whatever fuck all those assholes theyre niggers they all look alike to me,hate_speech
how about you wash my butthole out with your tongue you little faggot,hate_speech
youre fucking gay blacklisted hoe holding out for tehgodclan anyway,hate_speech
it doesnt just affect kids it affects the faculty the staff that work at these schools that are queer,offensive
these bitches play on everybodys team,offensive
god damn birds,offensive
bout2gocrazy aintnolevelz2disshit hungrier then a phat ho on a diet ig,offensive
free birds lol,neutral
8220 i cried like a bitch after my first breakup never loved again lol8221,offensive
i for one welcome our new eastern panhandle overlords and hope they do a better job than the yokels who got us here in the first place,neutral
with the bitches amp 128109128111 128139128168,offensive
that bitch hit the chick when she wont looking that shit weak af,offensive
8220 ladies what if a dude put two hands in your pussy and started clapping8221 lmaoo,offensive
just like i made you hoes come for me i can make yall go away 128080999665039,offensive
it stinks in here must be then pussy ass niggas talkin shit tomyfacebro test me,hate_speech
im so sick of u niggers,hate_speech
hoes are more fun,offensive
is he chunky,neutral
probably time to put this twitter feed to bed nyy,neutral
rt if you agree northkorea says barackobama looks like a monkey who belongs in an african zoo rofl,offensive
why he try say alexi stole jo bitch lmao,offensive
fucking told all of you bitches,offensive
i wasnt calling you a faggot but you are one lol,hate_speech
randies are fags,hate_speech
i drag a bitch by her hair captain caveman nnn,offensive
bitch you frooooontin bitch you frooooontin lol,offensive
trust me seattlegt we give thanksgiving its duegt a huge flightless bird dream come true for european bird eaters,neutral
lmaoo i shouldve seen that coming rt fat bitches need love to craig,offensive
if you hate men so much why you trying to look like one stupid little cunt,offensive
puss or pussy,offensive
fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga yall some fake ass people,hate_speech
1 2 3 4 how many niggers are in my store i knooooooow your stealing 128514128514128514,hate_speech
niccas use to be like you always tryn pull a finesseduh nicca i need mine,offensive
bitch you guessed it,offensive
time for bed 127769972965039127776999665039peace bitches,offensive
come on nd get that chicken niggers love dat chicken from popeyes,hate_speech
ya lit stupid ass bitch i aint fuccin witchuuuu 128581128683,offensive
fight expose hoes do some super gay shit anything negative since thats how society works,offensive
sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag,hate_speech
i am that queer gnarles charles and no it wasnt me,offensive
its a million bad bitches in this world and you stucc on stupid,offensive
so to all the hoes waiting up for that goodnight text bitch please that nigga dont love you,offensive
poly ratchets cant stand poly bitches in general 128514 they loud annoying and they talk too much,offensive
in the trash i hope rt just dropped four new songs,neutral
8220 bitch you didnt feed me you asked my to buy you a burger 1285141285141281288221128514128514128514128514128514128514128514 lmfaoooooo no 8230,offensive
fuck brett farve redneck ass he stuckup he dont give a damn lol he be on campus acting like he the shit,hate_speech
better play your part bitch dont be a smart bitch cuz i might have a change of heart,offensive
but naawww though yall hoes is fu dont fucking play wme,offensive
mine too 128513128588128076 rt 8220 this ma niggah 1280768221,hate_speech
128514128514128128128128128128128128bitch you outta line,offensive
i got 99 problems but a bitch aint 1,offensive
this side hoe main chick talk is disgusting get a life man,offensive
i need a trippy bitch who fuck on hennessy,offensive
not just cause of hoes go to jail cause of fucking up hoes bloody n making them call you head honcho,hate_speech
but bitches be mad than a mf when they dont know what im doing amp how i getting it 128175,offensive
new sign up at mong kok protest site says fight for democracy and oppose the communists to have a future,neutral
stockboy u should talk u tweet lies and childish shit about obamayoure very unqualified you only appeal to dumb rednecks,offensive
i hate bitches that fish for compliments,offensive
they faggots orioles petty as fuckgot swept up outta this bitch,offensive
i feel like eating pussy right fucking now,offensive
niggas talk more than bitches these days,hate_speech
boy went trick or treating at charlie sheens dada not jealous cause all charlie gave out was really good candy and by cand8230,neutral
bitches love body party 128571128166128069128068128525128149 but when its time to take da dick the party canceled 128581127814 false advertising ass bitches,offensive
shes definitely a kardashian bird rt,neutral
k bitch niggas,offensive
your a fag,hate_speech
i hate when niggas be slobin all on the blunt like they eatin pussy amp have the nerve to try amp pass it im good nigga i8230,offensive
the fact that all yall hoes gettin pregnant wit no ring on ya finger 128514128514128514128514128514128514,offensive
switcharoo yo hoe,offensive
bitch lol,offensive
if i ride up to your bitch in these then homie consider yourself a single nigga,hate_speech
8220 my phone charging backwards 1285338221 retarded,hate_speech
ray rice had that bitch of the xans and the lean all in one punch,offensive
breakingnews streetart graffiti new mural by duo etamcru in rome italy morning breakfast coffee trash,neutral
niggas at the march looking for hoes amp they out there too im sure of it,offensive
8220 i hate that hoe already 128514128128 128514128514128514 this shit cracks me up,hate_speech
faaaaggggottttt speaking with the blonde hair and confused youre a hypocrite cuz youre a faggot,hate_speech
8220 these hoes gon come ampamp go i feel it8221,offensive
jig levitating rt samsung made fun of bendgate now the galaxy note 4 fails too,neutral
happy birthday my little cotton picker,hate_speech
these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,hate_speech
let me tell u funky bitches bout a pimp name c i aint payin for no pussy and my dick aint free,offensive
when you see a bitch nigga subtweet you,offensive
im going to murder that fucking cunt,hate_speech
i beat that pussy up up up up,offensive
whats this chinks email im moving to china and slicing his throat,hate_speech
lakers fans will feel the pain the yankees fans are feeling today at the end of basketball season,neutral
screaming after wes bitch ass annalise is losing her damn mind she need to put the big girl panties back on htgawm,offensive
mccann although not having the greatest of seasons would be a step up from russel martin mccann or carlos ruiz mlb yankees,neutral
bad chicks send em in basic hoes toss em out cant even get waffle house hating niggas chalk em out gone get the coffin out,offensive
lmfaoo never i be dolo i dont got no niggas amp for my old hoes fuck all them 128074128514128514128514,hate_speech
idc i can still get it thats my pussy,offensive
nigger,hate_speech
niggas probably be watching me like look at this uncle tom ass rasta,hate_speech
awww shit lol i want my money too bitch who else i give one to,offensive
obama8217s faves muslims black ghetto trash via,hate_speech
13hours of hell obama flat out lied to get reelected killery ltwhat diff does it make now karma its a bitch,offensive
inspiring a huge crowd of tourists to sit and watch the wild meadow rats over here by the trash cans cameras are out there is gasping,neutral
not dykes or anything128111128539128109,offensive
you say no to ratchet pussy but juicyj cant bands will make her dance,offensive
dont mention a bitch from your past to me first of all i dont give a fuck second of all i dont care and third i 8230,offensive
lmao fucking bitch ima whoop you like a did yesterday but im trying to update the roster you down,offensive
jean skirt ass hoe,offensive
whats worse than ebola the fing retards trying to make it a race issue al sharpton has caused more american death than ebola,hate_speech
feminist aka a bitch,hate_speech
ion like the ho cause she talk to mf much with ha real butt ugly ass dumb young ass ho 128553128074128522128299128591128079128530999665039,offensive
every gook in losangeles should be deported or killed,hate_speech
lol stop fuckin wit dem birds rt fuck yall hoes all yall do is lie,offensive
lmao let these hoes be hoes aint no savin nem,hate_speech
8220 good pussy have a nigga like funniest thing ive ever seen on my tl 1285571285571285578221,offensive
lax gun laws ur retarded theres murder there bcuz no one can defend themselves only crooks have guns there,neutral
tweetlikelexi nah we not gonna sit down we gonna walk it out bitch,offensive
you understand you look like a real life dyke right like you look like a wnba dyke bro a sports bra amp bball shorts wearing dyke,hate_speech
8220 lmao rt tempted to send this fuckin hoe lmao8221128557128557,offensive
well maybe youre a whore you stupid ugly homeless bitch,hate_speech
fuking bitches that dont move when you say excuse me is whats wrong in this world,offensive
128514128514128514 a box full of yellow crayons,neutral
gay ass nigga 128514128514 bitch you thought you thought,hate_speech
side hoes shall only eat side dishes fo ye are what ye eats traprinthions 1017,offensive
34 of a citizen i said it for you maria you spic,hate_speech
friends a proud hindu n shivsainik brother shri ramesh jadhav was murdered by jihadis plz help trend rameshjadhav,neutral
fuck the islamic state we will kill those cunts127468127463,hate_speech
true i need to sleep to make them gainz bruh so all the hoes stay mirin p alright later8230,hate_speech
raunchy ass hoe,hate_speech
thats actually nonenglish because okiecops are filthy white trash who are all criminals,hate_speech
rollin coal bitches ready to blow ready set go,offensive
not scanger,neutral
you were there bitch lol,offensive
faggot,hate_speech
feb 2015 jordan 4 retro remastered oreo 314254003,neutral
seen glo eat a twat on stage watching that shit and get eaten in the middle of a populated concourse if i aint mistaken,offensive
jk id fuck a dog before i fuck you fish pussy,hate_speech
dont be a pussy also there is beer and free pizza here i swear,offensive
and if you aint a hoe get up out my traphouseeee,offensive
now this new bitch acting dumb tryna correct my every word,offensive
move out of our country teabaggers,hate_speech
fuck you ghetto ass coons,hate_speech
pretty bitches rep taylor gang hollah lmfaoo,offensive
lmao trifling ass bitch,offensive
stop looking us and go eat some pussy you yuppie fucks,offensive
ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,hate_speech
with yo twatching ass bitch,offensive
happy first day of college nigger,hate_speech
prejudice a preconceived awareness based on a majority of interactions the negative slant comes from libs self preservation is the basis,neutral
bluesapphireearrings 18kyellowgoldclipondiamond alexandra earrings in emerald crystal on emma,neutral
85 species of birds reported in chesterfield for the great backyard bird count how many in your area,neutral
thats a win right there any nigga who doesnt partake in that is a faggot even if they dont smoke,offensive
fuck you fag,hate_speech
if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car,offensive
i always felt funny about a chick calling me daddyit sound sexy and all but bitch you need to go and find your dad,offensive
the nerve of people though cant take nobody serious i continuously laugh at you hoes,offensive
i hate when people just randomly stop talking to you like give me a reason bitch,offensive
i thought you was talm bout the school wifi i was gon say all you had to do was ask a bitch 128514128557,offensive
i got called a faggot for buying girl toms so now im gonna fuck that person in the ass,hate_speech
prairie nigger,offensive
you state it gook,hate_speech
yall can say imma make it way farther than youall you want but aye im gonna have fun bitch so suck a diiiccckkk,offensive
idk if is really a man but she surely is a trash rapper,neutral
did you take a picture of your pussy i hope you super sized it because its huge grand canyon size,offensive
bitch ass people are the first to call someone out for being a bitch,offensive
fuck is yaw sayin bitch my hood love me1286779889127984,offensive
i like how niggas try an come at me and im like do it then bitch and they dont do shit pussies,hate_speech
i hate the ghetto trash at the special school across the street from my building all of them will grow up to be criminals,hate_speech
im not a fag gtfo,hate_speech
being single isnt an excuse to be a hoe,offensive
lmaoooo rt when you break up with your bf and you gotta pull out your old hoe moves like,offensive
i drove my daughters guinea pig to the vets this morning im quite handy with my new callaway golf clubs sickipedia,neutral
these young cats being drafted in the nba today are walking lotto tickets wait till these niggas find out that pussy come8230,hate_speech
8220 if i posted pics of everything i do in my life yall hoes would fall in love 8221dont kill em channing,offensive
word and it dont make u a hoe rt its okay to have sex on first date long as the feeling is mutual,neutral
almost mad a nigguh catch some stacks at lunch close one,offensive
her pussy stay wet when shes around me gotta lick it till she wetter then never before,offensive
no need to compete with other women theres only one of me and shit im that bitch,offensive
pull up on a nicca bored,offensive
ion fight but it aint no pussy in my heart nigga ion fear nobody but god loose win or draw,offensive
youre a fag,hate_speech
thisty hoe,offensive
its comfortable but niccas like me say comthablesmh,hate_speech
715 needs to hurry up its chilly in this bitch,offensive
danny chris and i should not be allowed out in public together cunts,offensive
8220 if youre playing flappy bird 18002738255 national suicide prevention lifeline rt to save lives8221 8230,neutral
red hot chili peppers with the longest nipslip in super bowl half time show history,neutral
i already know you trash if being tatted is on the list of things you want in a nigga,hate_speech
why do so many filthy wetback halfbreed spic savages live in losangeles none of them have any right at all to be here,hate_speech
yes rt no rt will you buy the new caramel apple flavor of oreos,neutral
8220 this is awkward u fag wonder whos awesome tank that is 128522,hate_speech
its a mutation genealogy is convoluted basically the zebra gene currieries are slaughteredextinction,neutral
i wish faggots like would stop making music rack city was fucking awful get the fuck outta michigan,hate_speech
of course my faith for baseball is off this year because of barrybonds you goddamn retards morons,hate_speech
crack cocaine can steal your bitch from you,offensive
no thanks lady you look like you just got off the white trash train id rather not catch a disease kthxbai,offensive
weird to see a local yokel journalist get worked up enough to take such a pointed side though thought they were impartial,neutral
on gc i l8v3 dis bitch,offensive
aye we all needa keep are heads up high who cares if we lost we all went and tried our best ampsouth is a bunch of trash talking pussys,offensive
i want some monkey bread 128553128588,neutral
want some cheese with that whine bitch,offensive
i been fucked that hoe she a nobody,offensive
i aint sharing no bitch if you mines you mines 128175,offensive
ill ask you same question do you support border jumpers do you support illegals,neutral
dis nigga look retarded,offensive
craziest bitches got the best pussy,offensive
lmao let these hoes be hoes aint no savin nem,hate_speech
ifshecantsuckthedickright slap it on her forehead the bitch needs a spankin discipline her ass 1285149995,offensive
girls hey beautiful friendship lasts 2 months bros sup pussy friendship lasts forever,offensive
just to get u mad go on your search bar on here and search up stupid niggers amp hop on somebodys head then mention me lol,hate_speech
that hoe ask what time it is its 1017,offensive
i would like to apologize to anyone i have called fat stupid gay nigger jew or retarded i am truly sorry jk just trolling fags,hate_speech
fuck that hoe thats exactly what dese hoes doin gettin fucked nd yall niggas the one to blame,hate_speech
i swear i saw more then 3 bitches jump this girl 128583,offensive
dani alves pulled off that hairstyle neymar just looks like a faggot,hate_speech
8220 the bromance between pat and ant is real8221 fuck that faggot,hate_speech
it aint nothing to cut that bitch off 1007165039,offensive
i hate taking a shit at public places bc i feel like a faggot when im placing the toilet paper on the toilet seat,hate_speech
spongebob ass niccas fr,offensive
hey aklve im taking out the black ghetto trash youre blocked nigger,hate_speech
this weeks rfn segment is in the can i discuss idaho being a faggot marriage state just like washington,hate_speech
gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,hate_speech
there is this yellow thing in the sky i dont know what to make of it,neutral
faggot,offensive
ive told those bitches at the dentist about my gums receding for the past fuckin year and now they wanna warn me about it,offensive
doing someone wrong for the sole reason that they did you wrong will only bring more negative karma amp energy into your li8230,neutral
good day honkies,offensive
i meant bitch i am scum,offensive
yeah me too my people the women laff at the set apart men they love the real niggas or niggers,hate_speech
i dont got that bad of a mouth do i fuck shit ass bitch cunt shooby de doo wop,offensive
i will never date a female with another niggah name on her lol wtf,offensive
1 2 3 4 how many niggers are in my store i knowwww youre stealing 128514128514128514,hate_speech
you thought you had enough hair for a ponytail bitch,offensive
8220 128541 swear they emojis128553128514,offensive
if you dont fuck with your either a slackin b a turd burgular c a pussy face or d all of the above whichisit,offensive
nah go talk to ur bitch since she yo crush n shit,offensive
my homeboy got a hoe number on house arrest i said thats good she wont ask to go anywhere,offensive
i be try a log on to ig an like pics but bitches dont be posting no pics,offensive
he a bitch for hitting that hoe 128514128514128514128514128514128514128514128514128514,offensive
realest tweet i seen today rt 8230 dyke bitches are rehab for hoesand once im healedback to the dick i go,hate_speech
ion speak on how flaw niggas and thirsty hoes be on ig but boyyyyyy look at here 128586128586,hate_speech
squidward in the face ass bitch,offensive
good morning coons,hate_speech
kill whitey,hate_speech
me youre a hoe hoe you wasnt saying that august 12 2014 at 722 pm me well youre a hoe today on october 1st 2014 at 8230,offensive
free the squaddd we in this bitch solid first block freee us,offensive
ohkay ma texas bitch keep textin me callin cryin stressin me bout where i been but ive been with another bitch allegedly 128076,offensive
fuck bitchesget money,offensive
i hate when bitches post pictures with other cute bitches and dont tag em in it thats low key very selfish as fuck,offensive
typically hateful antichristian mentally ill and ugly dyke trash pig couple jennifer mccarthy and melisa erwin,hate_speech
lmao chill spook rt you think you better than niggas cause you in miami you 252ber colored faggot,offensive
niggas are so fucking gay and they try to cancel it out by saying nah were bros its cool nahhhhhaahahahaha you a faggot bruh,hate_speech
i dont have no girlfriendside bitches main chick hoes i just got a ex i want back,offensive
when you tell a dark skin bitch to send you some sexy shit,offensive
beans u beaner,hate_speech
how girls become friends omg i love your shoes how guys become friends excuse me siri see u fuck bitches i,offensive
bitch,offensive
boy talk about aspecial kind of stupid far left is a under statement down retarded,offensive
bitch i didnt even know you i was only fucking with real niggas and damn sure wasnt one of them,offensive
leavin no hope for these hoes,offensive
i do da flow in a temple today fo nuttin and dat jew wit the funky hair tell me i subhuman he tell me i aint no mo human den a monkey,hate_speech
hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it they love stupid people,hate_speech
shyt b pissing me off rt ugh i cannot stand bitches like that smh,offensive
i wont say how many bitches i fucked but i might say how many 100s i touched 128178128178128178,offensive
this bitch think she cute and have all the guys over her hunny ur fake asf just like ur weave he dont even like u stfu,offensive
produced by yung 128293128293 bouta drop dis hoe,offensive
they are little bitches when they are proven wrong momsdemand gunsense,offensive
this girl is retarded,hate_speech
im jus tryna vaca away from the niggers bro,hate_speech
nope not at all but im stuck in a house full of fucking niggers help me escape 128553,hate_speech
i like chinese buffets but i hate all the chinks,hate_speech
i hate that one random tear that comes out when you havent blinked 128560like nigga stop being a bitch 128162,offensive
im referring to the second down put vick in slot play trash,neutral
white trash okies dont count as real white people to count as a white person you have to count a person okies arent people,hate_speech
8220 shut up faggot8221128514set himself up,offensive
i ignore birds,neutral
that is what i do rt rt the nicer you are the easier youre hurt so just be a bitch,offensive
now mfa dont wanna spend a dime wit em prolly out here yelling money over bitches,offensive
youre reading you coon,hate_speech
hoe dont tweet me,hate_speech
i had 14 fags in the space ae 3 hours excuse me confused wheresshitgoing,offensive
shut up faggot,hate_speech
status report making a pit stop in canada to rape bitches,hate_speech
just start blocking dissenters you coward pussy rt patiently awaiting a drop in my twitter followers nothing yetoh well,offensive
a bitch a get chalked b4 i catch feelings,offensive
it was paul mccartney faggot,hate_speech
ungrateful shit lol rt is sending for me in a uber the new way of tryna pay for pussy cuz lol pls dont,offensive
oh i see part of a giant govt take over eh stockboy you are a joke of a representative dumb teabagger,offensive
everyone staring at me like whats this bitch doing here 128557128557128557128557128557128557,offensive
shit is fucking retarded no one wants to see this shit,offensive
ur ballsack is hairy gtfo tranny prude bitch,hate_speech
trash what,neutral
dont call me a nigguh unless u call me my nigguh,offensive
i hate when people tell me i have to many tattoos and they make me look ugly like bitch fuck you,hate_speech
the best way to avoid a tsunami of extramarital pussy is to wear sneakers on your daily commute also using the word sneake8230,offensive
8220thats a very nice jig kearney now isnt dancing much more fun than bullying,neutral
when you and your boys discover a hoe,offensive
this nigga tried to hate on me to a bitch and she told this cornball im that nigga,offensive
fat dykes make me want to vomit,hate_speech
you a bitch,offensive
anybody who trashes their own neighborhood after a perceived injustice is a fucking moron ferguson,hate_speech
when a bitch got you fucked up but you devoted your life to the lord so you gotta stand there like you aint mad,offensive
im a vipperloid bitchp,offensive
oh but those last few that did charlie wilma jeanne,neutral
sometimes i just want someone to bitch to about a shitty day,offensive
the leftisthomosexual war on the catholic church kicked into high gear with the infiltration of the priesthood by boyraping fags,hate_speech
yo bitch on my dick she come to my crib she get passed around no love,hate_speech
i think i did my job here toodles to you bitches 999665039,offensive
only real bitches suck dick,offensive
just 113 days until yankees pitchers and catchers report,neutral
them bitches be smackin,offensive
youre a retard,hate_speech
5 bags of chips 3 rice krispies 3 seeds 3 gummies a pop tart some crackers 3 powerades and a water yuhhh im good lol,neutral
i wasnt calling you a faggot but you are one lol,hate_speech
or jim crow laws segregation lynching laws anti womans suffrage laws amazing how everyone doesnt want to bring that up,neutral
why do so many filthy wetback halfbreed spic savages live in losangeles none of them have any right at all to be here,hate_speech
thats true in some ways gaming is very broad now a days tho everyone is a gamer with candy crush and angry birds,neutral
i should get a job at the usps customer service number since the only requirement is being a total cunt,offensive
i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god,offensive
niggasbitches cheat cause mfs always think they gettin played,hate_speech
yer dirty pussy,offensive
check his hoe for i check her 128175128129128581128079,offensive
you took our land so you could make each other retarded in diapers sureuse our imagecool redskins nfl concussion jokes,offensive
all you muzzy lovers need to do one thing tell muzzies in the mideast to leave israel alone dont start no shit wont be no shit israel,hate_speech
both yall pussy son beat it,offensive
i tweet like a nigger,offensive
yah she was a hoe,offensive
oh now your bitch ass wants to reply back after 3 days bitch bye,offensive
if the faggots can have a page y cant theyfaggots offend me more than them,hate_speech
mom brought me mcdonalds for lunch i had all the bitches on me,offensive
dont be a little bitch or ill do this to you,offensive
egypt r the muzzie bros still running things only a tad better certainly no respectors of dem though,neutral
a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be stupid if u pay 499 for a b8230,offensive
this bitch almost lost her life,offensive
im so sick of u niggers,hate_speech
i just want to punch you in the throat when you get my order wrong stupid bitch at sonic,hate_speech
how are and i supposed talk shit about bitch ass now that he has a twitter confused lt3,offensive
them quiet girls be hoes to watch out,offensive
gtrt ankle socks in general are for the faggots bro,hate_speech
random running dogs in the ghetto,neutral
so you support illegals coming here and spreading disease among americans dream that bitch,hate_speech
13 shy 65 bitch 22 homosexual,offensive
i hate a stuck up bitch likeeee stfu you aint shit special,offensive
haha yuhhh did i hit that hoe or what,offensive
really barnicle oj or anthony weiner mj is a clown show for teabaggers and the rich come on msnbc do you want good ratings morningjoe,offensive
sen harry reid lists all the things republicans have blocked in the senate via he is ho8230,neutral
well maybe youre a whore you stupid ugly homeless bitch,hate_speech
niggah follow me back 128529,offensive
in other words call you a bitch,offensive
both of my bitches drive range rovers,offensive
chuck e cheese isnt the same as when i was a kid chuck a skinny bitch amp they took away the ball pit man wtf,offensive
thas my bitch too,offensive
idk i gotta think about it cause them bitches small as shit,offensive
these niggas run they mouth like bitches,offensive
i remember a time when hilfiger wus seen as being above polountil he said he aint wan niggers wearing his ish,offensive
i love fat bitches thats my fucking problem,offensive
the republican teabaggers hate this but screw em,neutral
my twitter was hacked im too pussy to admit that i said it and now i want to act like i never said it,offensive
your low info redneck dumbasses vote for these corporate shills that idiots like you believe dummies,hate_speech
8220 these hoes aint loyal8221 no they aint,offensive
omg bruh said this bitch look like a female jb smoove lmao,offensive
a guy claiming to be republican called cspan news and said republicans hate that nigger obama,hate_speech
not true rt every man has hoes bye,offensive
bitch look homeless and u say meth not weed ur a fucking discrimination to american but enough of the bull shit what up fuk boy,offensive
derekjeter as a lifelong yankees man i will miss you firstballot unanimous,neutral
and now lookin ass niggas and lookin ass bitches will be the terms of 2014 will be overused amp abused in every fucking way,offensive
im surprised you could read it with slits for eyes,hate_speech
ive never had a twinkie,neutral
u coons cant wait to wear them oreo js,hate_speech
charlie jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head,neutral
cuz the whole team trash,neutral
after ya girl walks in ya crib and has hoes for ya niggas,offensive
jesus walks bitch,offensive
these hoes dont want no help but they want all the help,offensive
omg gtfo white faggot,hate_speech
but youre still a faggot,hate_speech
slightlyadjusted rt alls niggers wanna do is fuck tweet and drink pineapple soda all day,hate_speech
fucking gay faggot look at that gay ass pink shirt haha,hate_speech
lol bitches from riverside to la ahah,offensive
i hate that faggot he so corny,hate_speech
its no wonder my titanium ankle is killing me woo retarded winter weather texas weather,offensive
4370 sunnyslope dr memphis tenn 38141come over and get fucked in the ass you lil skinny bitch i love read skinny 8230,offensive
good morning coons,hate_speech
